"time","co2","trialnum"
2091,584.7753219970731,2
2092,586.1973614558631,2
2093,587.5766412522447,2
2094,588.9141582759765,2
2095,590.2108012255096,2
2096,591.4674513459383,2
2097,592.6916052046829,2
2098,593.8907011262465,2
2099,595.0656246974529,2
2100,596.2174062563691,2
2101,597.3472214696583,2
2102,598.4469112441598,2
2103,599.5083005598167,2
2104,600.5327818579574,2
2105,601.5218392842664,2
2106,602.4767888097138,2
2107,603.4024425952223,2
2108,604.3035104422622,2
2109,605.1810223044018,2
2110,606.0360233607496,2
2111,606.8695811948567,2
2112,607.7006692963014,2
2113,608.5477837200795,2
2114,609.410980101278,2
2115,610.2902240758358,2
2116,611.1854946435622,2
2117,612.1013608906356,2
2118,613.042367348959,2
2119,614.0085393152706,2
2120,615.0000057674587,2
2121,616.0169994065532,2
2122,617.0337793082506,2
2123,618.0251885270138,2
2124,618.9925116614626,2
2125,619.9367730005861,2
2126,620.8588769209599,2
2127,621.7662091729018,2
2128,622.6659897478846,2
2129,623.5587740650848,2
2130,624.4451504753848,2
2131,625.325751042052,2
2132,626.209486726739,2
2133,627.1050792468723,2
2134,628.0127170367427,2
2135,628.9324477699283,2
2136,629.8642285299987,2
2137,630.8094357214203,2
2138,631.7694800462236,2
2139,632.7443868639452,2
2140,633.7342315424371,2
2141,634.7391075742675,2
2142,635.7363684820236,2
2143,636.7037943003279,2
2144,637.6422500829175,2
2145,638.5524341911284,2
2146,639.4349300754352,2
2147,640.3031563579462,2
2148,641.1702409268598,2
2149,642.0361495414386,2
2150,642.9008434125965,2
2151,643.7642817908301,2
2152,644.6332294403621,2
2153,645.5145162851013,2
2154,646.4082888024253,2
2155,647.3147294620132,2
2156,648.233930581254,2
2157,649.1625711922454,2
2158,650.097326735954,2
2159,651.0381894394329,2
2160,651.9851535520445,2
2161,652.9382651922244,2
2162,653.8860374855403,2
2163,654.8172299289017,2
2164,655.732439955638,2
2165,656.632269418479,2
2166,657.5171837651101,2
2167,658.3833306650893,2
2168,659.2268262572082,2
2169,660.0479185719521,2
2170,660.8468576942782,2
2171,661.623952822309,2
2172,662.3912648297127,2
2173,663.1607190632669,2
2174,663.9324128989475,2
2175,664.7064669157211,2
2176,665.4829444142711,2
2177,666.2850681596517,2
2178,667.135668803431,2
2179,668.0339837122166,2
2180,668.9792940176684,2
2181,669.9709646952001,2
2182,670.9860100514481,2
2183,672.0017872310233,2
2184,673.0183890241054,2
2185,674.0359169572046,2
2186,675.0544912313724,2
2187,676.0646901550348,2
2188,677.0571913100423,2
2189,678.0322685048305,2
2190,678.9901283069452,2
2191,679.9309065126654,2
2192,680.8580841582448,2
2193,681.7750901904201,2
2194,682.6819211852505,2
2195,683.5786077975122,2
2196,684.4651981306678,2
2197,685.3508978369347,2
2198,686.2448416052528,2
2199,687.1469040153626,2
2200,688.0568546639499,2
2201,688.9743613186514,2
2202,689.9004931165871,2
2203,690.8362284292881,2
2204,691.7810597296079,2
2205,692.7345276842179,2
2206,693.696194381155,2
2207,694.6556277229294,2
2208,695.6025423498014,2
2209,696.5368363308213,2
2210,697.4584388658477,2
2211,698.3672640431014,2
2212,699.2763928524961,2
2213,700.1987081834669,2
2214,701.1337018950758,2
2215,702.0808710576757,2
2216,703.0397308594725,2
2217,704.0133378601994,2
2218,705.0047711839158,2
2219,706.0136249765707,2
2220,707.039547921213,2
2221,708.0822446175445,2
2222,709.1349555967045,2
2223,710.1909747722624,2
2224,711.2500873359714,2
2225,712.3119655413429,2
2226,713.3762403302683,2
2227,714.4460501700107,2
2228,715.5245551323799,2
2229,716.6114730289878,2
2230,717.7065753115643,2
2231,718.8097027078297,2
2232,719.9127326868073,2
2233,721.0075724816559,2
2234,722.0941533840037,2
2235,723.1723731148772,2
2236,724.2420889745497,2
2237,725.299951107741,2
2238,726.3426503883151,2
2239,727.370136619483,2
2240,728.382402459854,2
2241,729.379473860191,2
2242,730.369273855236,2
2243,731.3596850782128,2
2244,732.3506228148119,2
2245,733.3419146285423,2
2246,734.3333305614694,2
2247,735.3260843193452,2
2248,736.3214090593181,2
2249,737.3191137622391,2
2250,738.3190352764885,2
2251,739.3210342802374,2
2252,740.3218399820454,2
2253,741.3182355151102,2
2254,742.3102266868389,2
2255,743.2978473672363,2
2256,744.2811039863446,2
2257,745.2590280488535,2
2258,746.2306297491652,2
2259,747.1958196751623,2
2260,748.1544940666815,2
2261,749.1065584545483,2
2262,750.0527709959059,2
2263,750.9939311772819,2
2264,751.9300477120629,2
2265,752.8611666304414,2
2266,753.787375150502,2
2267,754.7069071150006,2
2268,755.6179754294983,2
2269,756.5205840338642,2
